enterprise_value_q,cost_of_equity,used_growth_rate,levered_wacc,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax,ev_sales_valuation,ebitda_valuation
222556988.10,0.17,0.01,0.11,22724000.00,-16744000.00,35735153.80,40757602.20,97067397.17,185412450.30
222556988.10,0.17,0.01,0.11,37347000.00,-38807000.00,36989106.00,82993480.50,102815884.50,210305258.00
263759247.10,0.17,0.01,0.11,9154000.00,5121000.00,15020476.80,24806972.80,88682598.59,96806321.43
205056750.50,0.17,0.02,0.11,17051000.00,21035000.00,21020608.20,24250687.60,102489304.90,140929778.30
239167903.40,0.16,0.02,0.11,22720000.00,38997000.00,26021402.00,13541457.20,106671387.90,162152480.10
257247229.00,0.16,0.02,0.12,32004000.00,40435000.00,35011586.20,10701319.80,109534687.70,147259199.90
262207358.40,0.16,0.00,0.12,-3264000.00,12425000.00,793330.20,7648376.00,104508431.70,76113615.05
210809365.80,0.17,0.01,0.12,38312000.00,40361000.00,18666303.00,16747148.00,111653755.90,119989331.80
154031659.00,0.22,0.00,0.09,119679000.00,142533000.00,-1984280.00,12989870.00,122191099.30,105584679.00
196243604.90,0.20,0.01,0.12,34908000.00,22394000.00,38694003.00,24947302.50,121078457.50,184567815.00
215286179.90,0.21,0.01,0.12,48235000.00,57983000.00,29887720.00,-3116407.90,129369460.00,128524766.80
219916718.00,0.21,0.01,0.12,34188000.00,-19315000.00,39686990.50,60242336.50,142775761.20,168974917.80
228126737.60,0.21,0.02,0.13,19951000.00,17701000.00,25583410.20,38209083.80,147475484.40,218389956.70
248291252.90,0.20,0.01,0.12,55611000.00,10315000.00,63889520.00,32430824.00,152372128.10,198831840.10
248283414.40,0.20,0.00,0.12,3190000.00,-8348000.00,9737457.60,28735346.90,143874625.70,166022558.70
259389055.20,0.20,0.01,0.12,5623000.00,13627000.00,13574334.40,26488032.00,154140470.10,307194503.10
295855457.30,0.26,0.01,0.14,181133000.00,208518000.00,34607010.00,-3311860.00,195884459.90,364631628.00
267530360.80,0.25,0.01,0.13,54362000.00,14281000.00,61355417.60,34981220.40,200986821.40,359017391.10
300157482.10,0.24,0.00,0.13,-7551000.00,26613000.00,-732754.50,1619030.80,184855091.80,185337356.30
279177332.20,0.24,0.01,0.13,32256000.00,-2787000.00,39147564.00,47788685.90,194896039.50,284988779.20
274743006.80,0.26,-0.01,0.09,5673000.00,-23970000.00,3524820.00,21847920.00,211357302.30,-37692902.49
224026355.50,0.27,-0.03,0.09,73122000.00,-31688000.00,82094500.00,-21902370.00,212590538.80,-281861623.10
226627218.30,0.20,0.00,0.10,-13783000.00,-13781000.00,-6896004.80,33305884.90,312873827.80,126411614.80
220362772.60,0.25,0.01,0.12,70726000.00,-11085000.00,81286086.70,43361214.50,341138792.30,192664878.30
195502179.30,0.24,0.01,0.12,12365000.00,23395000.00,21103603.20,23683266.80,360871643.80,261700764.00
208992550.30,0.27,-0.03,0.09,70879000.00,-3579000.00,75283410.00,-27531170.00,334679241.00,-125911787.20
248077800.40,0.29,0.00,0.09,37288000.00,-54667000.00,10518850.00,99362830.00,467317246.90,66820931.15
236931840.90,0.29,0.00,0.13,17797000.00,-3313000.00,23027636.30,34195537.20,473324312.20,204853321.10
229000287.50,0.26,0.01,0.12,33924000.00,7114000.00,40969232.50,37816891.00,490556862.30,335098737.50
263172664.70,0.28,0.01,0.14,37145000.00,30252000.00,44642078.40,28632120.00,511669041.60,400873811.80
245067521.40,0.29,0.00,0.09,4098000.00,-8480000.00,10528970.00,25262670.00,484742640.60,100513313.60
275153976.60,0.28,0.01,0.13,15182000.00,6354000.00,20071205.20,28791111.20,499916354.60,201928356.30
258825616.50,0.28,0.00,0.09,-22497000.00,-84920000.00,15127300.00,70319300.00,506853378.60,102687576.60
188487579.20,0.28,0.00,0.09,37647000.00,3863000.00,35180890.00,19480180.00,498376451.70,83473159.28
220345600.90,0.33,0.00,0.09,7542000.00,-21165000.00,4079100.00,39846330.00,488903640.70,134532974.10
219179511.50,0.33,-0.01,0.09,13890000.00,-34233000.00,29310140.00,30777940.00,562769575.20,151866546.30
239202998.50,0.32,0.01,0.09,18672000.00,12277000.00,27051340.00,13332720.00,545200019.90,328744502.20
97507679.34,0.12,0.01,0.07,34063000.00,13420000.00,36069208.80,25103818.40,142648022.10,207687862.90
97507679.34,0.14,-0.01,0.09,49363000.00,-46583000.00,52427390.00,70938740.00,110332704.00,59785843.80
97507679.34,0.14,0.00,0.09,2558000.00,7160000.00,5430940.00,29651280.00,118138529.40,98582630.70
97507679.34,0.13,0.01,0.08,19274000.00,5165000.00,24740911.20,37014157.50,143590467.70,138727029.60
182667575.20,0.13,0.01,0.08,32457000.00,-10370000.00,34616869.00,57139602.00,133412548.50,150268363.80
182667575.20,0.19,-0.01,0.09,132390000.00,118276000.00,39268670.00,721770.00,111873987.30,66704028.75
182667575.20,0.15,0.00,0.08,-33774000.00,-53835000.00,17968479.50,40905493.20,129388024.30,133900185.00
182667575.20,0.15,0.02,0.08,20632000.00,-4257000.00,23326427.60,63486279.40,155718040.90,248275359.60
181665052.00,0.15,0.02,0.08,40215000.00,32045000.00,42765423.60,28203589.20,163848020.00,248963152.30
181665052.00,0.15,0.00,0.08,73934000.00,-3794000.00,76624244.50,44380277.00,157867733.60,158200542.00
181665052.00,0.15,0.01,0.08,16908000.00,12129000.00,19528901.40,40811380.10,174808847.60,221718842.80
181665052.00,0.14,0.02,0.08,11447000.00,34432000.00,14080707.50,25963515.00,187756142.40,259035374.60
323177681.30,0.14,0.02,0.08,40220000.00,17514000.00,42791615.40,39363731.80,190856739.40,244412005.70
323177681.30,0.20,0.00,0.08,312392000.00,264479000.00,82987771.20,15402724.80,241183173.70,325903673.30
323177681.30,0.22,0.01,0.09,30907000.00,62259000.00,20846578.90,19352306.80,285616396.20,476195452.70
323177681.30,0.22,0.01,0.09,45762000.00,48589000.00,38442044.80,45939700.20,312564579.80,616314862.00
350654762.50,0.22,0.02,0.09,44032000.00,116524000.00,15726600.00,4468600.00,334824617.90,681903378.00
350654762.50,0.25,0.00,0.09,46949000.00,-120041000.00,110883000.00,106674770.00,232153969.10,342900103.90
350654762.50,0.19,0.01,0.09,38626000.00,-1332000.00,54933395.70,54193784.30,253416033.50,576485320.40
350654762.50,0.20,0.01,0.09,48901000.00,121535000.00,9235872.60,5211192.00,286580121.90,773205849.90
670169178.00,0.20,0.02,0.09,38589000.00,66297000.00,33022219.10,34922431.00,303414521.60,871198692.50
670169178.00,0.19,0.01,0.09,59750000.00,-55376000.00,97169620.50,91497494.00,425817392.00,356883316.70
670169178.00,0.20,0.02,0.09,87730000.00,35280000.00,82555688.00,66729084.00,475324778.40,492506965.00
670169178.00,0.22,0.02,0.09,122161000.00,155221000.00,48857826.60,46208087.20,558460734.20,674852560.80
906270892.90,0.24,0.02,0.09,240902000.00,341920000.00,17587352.30,9324653.80,636454030.90,673771831.90
906270892.90,0.23,0.01,0.09,96463000.00,-34242000.00,130293240.00,100717050.00,873604013.00,665149109.50
906270892.90,0.29,0.02,0.10,75219000.00,53118000.00,85337014.90,76194491.30,1037833198.00,968114967.90
906270892.90,0.26,0.03,0.09,211221000.00,-72379000.00,250118692.00,216363482.40,1232259941.00,1311323410.00
884263047.40,0.26,0.03,0.09,66521000.00,239894000.00,4210542.50,4988432.50,1247974726.00,1314447311.00
