enterprise_value_q,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax
222556988.1,22724000,-16744000,35735153.8,40757602.2
222556988.1,37347000,-38807000,36989106,82993480.5
263759247.1,9154000,5121000,15020476.8,24806972.8
205056750.5,17051000,21035000,21020608.2,24250687.6
239167903.4,22720000,38997000,26021402,13541457.2
257247229,32004000,40435000,35011586.2,10701319.8
262207358.4,-3264000,12425000,793330.2,7648376
210809365.8,38312000,40361000,18666303,16747148
154031659,119679000,142533000,-1984280,12989870
196243604.9,34908000,22394000,38694003,24947302.5
215286179.9,48235000,57983000,29887720,-3116407.9
219916718,34188000,-19315000,39686990.5,60242336.5
228126737.6,19951000,17701000,25583410.2,38209083.8
248291252.9,55611000,10315000,63889520,32430824
248283414.4,3190000,-8348000,9737457.6,28735346.9
259389055.2,5623000,13627000,13574334.4,26488032
295855457.3,181133000,208518000,34607010,-3311860
267530360.8,54362000,14281000,61355417.6,34981220.4
300157482.1,-7551000,26613000,-732754.5,1619030.8
279177332.2,32256000,-2787000,39147564,47788685.9
274743006.8,5673000,-23970000,3524820,21847920
224026355.5,73122000,-31688000,82094500,-21902370
226627218.3,-13783000,-13781000,-6896004.8,33305884.9
220362772.6,70726000,-11085000,81286086.7,43361214.5
195502179.3,12365000,23395000,21103603.2,23683266.8
208992550.3,70879000,-3579000,75283410,-27531170
248077800.4,37288000,-54667000,10518850,99362830
236931840.9,17797000,-3313000,23027636.3,34195537.2
229000287.5,33924000,7114000,40969232.5,37816891
263172664.7,37145000,30252000,44642078.4,28632120
245067521.4,4098000,-8480000,10528970,25262670
275153976.6,15182000,6354000,20071205.2,28791111.2
258825616.5,-22497000,-84920000,15127300,70319300
188487579.2,37647000,3863000,35180890,19480180
220345600.9,7542000,-21165000,4079100,39846330
219179511.5,13890000,-34233000,29310140,30777940
239202998.5,18672000,12277000,27051340,13332720
97507679.34,34063000,13420000,36069208.8,25103818.4
97507679.34,49363000,-46583000,52427390,70938740
97507679.34,2558000,7160000,5430940,29651280
97507679.34,19274000,5165000,24740911.2,37014157.5
182667575.2,32457000,-10370000,34616869,57139602
182667575.2,132390000,118276000,39268670,721770
182667575.2,-33774000,-53835000,17968479.5,40905493.2
182667575.2,20632000,-4257000,23326427.6,63486279.4
181665052,40215000,32045000,42765423.6,28203589.2
181665052,73934000,-3794000,76624244.5,44380277
181665052,16908000,12129000,19528901.4,40811380.1
181665052,11447000,34432000,14080707.5,25963515
323177681.3,40220000,17514000,42791615.4,39363731.8
323177681.3,312392000,264479000,82987771.2,15402724.8
323177681.3,30907000,62259000,20846578.9,19352306.8
323177681.3,45762000,48589000,38442044.8,45939700.2
350654762.5,44032000,116524000,15726600,4468600
350654762.5,46949000,-120041000,110883000,106674770
350654762.5,38626000,-1332000,54933395.7,54193784.3
350654762.5,48901000,121535000,9235872.6,5211192
670169178,38589000,66297000,33022219.1,34922431
670169178,59750000,-55376000,97169620.5,91497494
670169178,87730000,35280000,82555688,66729084
670169178,122161000,155221000,48857826.6,46208087.2
906270892.9,240902000,341920000,17587352.3,9324653.8
906270892.9,96463000,-34242000,130293240,100717050
906270892.9,75219000,53118000,85337014.9,76194491.3
906270892.9,211221000,-72379000,250118692,216363482.4
884263047.4,66521000,239894000,4210542.5,4988432.5
884263047.4,105099000,-44678000,148307831.8,131732986
884263047.4,162446000,115886000,106548412.8,104257011.2
884263047.4,144941000,-94435000,222034136.5,197433237.1
655978287.4,108036000,860000,119143018.8,143474362.4
655978287.4,130711000,80758000,143306870,48791960
655978287.4,54261000,36324000,66462648.8,87424350
655978287.4,51434000,56168000,66188789,93562635
655978287.4,95705000,280010000,-42761,-21093121.4
655978287.4,172672000,-44017000,189780130,114173920
615916813.1,-10354000,40263000,-1823929.1,89507380.3
702036678.8,49560000,217988000,-6403507.4,10331122.8
1474646065,204330000,274258000,209116005.5,140736843.7
1474646065,396094000,3136315000,406299218,-2753037677
1616293407,-217727000,309575000,-205641027.2,48254625.2
1488117307,86823000,158416000,88412944,249428383
1701099897,502921000,-124943000,415371557.5,25339585
2408234257,377518000,198969000,382384030,35018940
